# ./cyclops -w STRIDED_ARRAY -m TASK_CLOCK_NS -u 5 -r 3 -s array-size-kib=10:2800:20 -p repeats=100
array-size-kib,CPU_CYCLES:MIN,CPU_CYCLES:MAX,CPU_CYCLES:MEDIAN,INSTRUCTIONS:MIN,INSTRUCTIONS:MAX,INSTRUCTIONS:MEDIAN,TASK_CLOCK_NS:MIN,TASK_CLOCK_NS:MAX,TASK_CLOCK_NS:MEDIAN,
630,37709372.000000,37730639.000000,37722376.000000630,5040674.000000,5040675.000000,5040674.000000630,15158073.000000,15171941.000000,15163200.000000
650,39541223.000000,39547702.000000,39542860.000000650,5200675.000000,5200675.000000,5200675.000000650,15895046.000000,15905153.000000,15897889.000000
670,40738494.000000,40756069.000000,40743427.000000670,5360675.000000,5360676.000000,5360675.000000670,16376544.000000,16386571.000000,16377424.000000
690,42357476.000000,42385023.000000,42367945.000000690,5520676.000000,5520676.000000,5520676.000000690,17033679.000000,17039866.000000,17034060.000000
710,43692098.000000,43712912.000000,43712040.000000710,5680676.000000,5680677.000000,5680676.000000710,17564767.000000,17573253.000000,17571553.000000
730,45457229.000000,45471186.000000,45470266.000000730,5840677.000000,5840678.000000,5840677.000000730,18273878.000000,18281132.000000,18277546.000000
750,46966358.000000,46970482.000000,46968610.000000750,6000678.000000,6000678.000000,6000678.000000750,18880463.000000,18882321.000000,18881192.000000
770,48420741.000000,48433230.000000,48431321.000000770,6160678.000000,6160679.000000,6160678.000000770,19464931.000000,19469600.000000,19468732.000000
790,49791349.000000,49819367.000000,49802723.000000790,6320679.000000,6320679.000000,6320679.000000790,20017489.000000,20031131.000000,20019098.000000
810,51522358.000000,51528952.000000,51524933.000000810,6480679.000000,6480680.000000,6480680.000000810,20709311.000000,20721850.000000,20712399.000000
830,52803413.000000,52829520.000000,52810860.000000830,6640680.000000,6640681.000000,6640680.000000830,21224164.000000,21237586.000000,21235448.000000
850,54405203.000000,54423022.000000,54423020.000000850,6800681.000000,6800681.000000,6800681.000000850,21869720.000000,21879156.000000,21879034.000000
870,55952391.000000,55955945.000000,55953349.000000870,6960681.000000,6960682.000000,6960681.000000870,22490125.000000,22493724.000000,22491816.000000
890,57268199.000000,57281037.000000,57276189.000000890,7120682.000000,7120682.000000,7120682.000000890,23019518.000000,23027988.000000,23024812.000000
910,58674941.000000,58686168.000000,58677145.000000910,7280682.000000,7280684.000000,7280683.000000910,23584797.000000,23604711.000000,23587176.000000
930,60259719.000000,60272781.000000,60269972.000000930,7440683.000000,7440684.000000,7440683.000000930,24220213.000000,24231618.000000,24228828.000000
950,61871648.000000,61897061.000000,61873023.000000950,7600684.000000,7600684.000000,7600684.000000950,24869179.000000,24880607.000000,24878738.000000
970,63354815.000000,63372714.000000,63366283.000000970,7760684.000000,7760685.000000,7760684.000000970,25463801.000000,25474307.000000,25473757.000000
990,65008470.000000,65015737.000000,65009107.000000990,7920685.000000,7920685.000000,7920685.000000990,26129632.000000,26136480.000000,26131128.000000
1010,66606142.000000,66633984.000000,66625114.0000001010,8080685.000000,8080686.000000,8080686.0000001010,26775328.000000,26793390.000000,26778516.000000
1030,67976152.000000,67980243.000000,67978881.0000001030,8240686.000000,8240687.000000,8240686.0000001030,27321976.000000,27332180.000000,27328597.000000
1050,69470371.000000,69474706.000000,69471230.0000001050,8400687.000000,8400687.000000,8400687.0000001050,27923888.000000,27925540.000000,27924625.000000
1070,70918504.000000,70947323.000000,70929054.0000001070,8560687.000000,8560688.000000,8560688.0000001070,28506416.000000,28519155.000000,28507658.000000
1090,72363998.000000,72375804.000000,72369718.0000001090,8720688.000000,8720688.000000,8720688.0000001090,29087815.000000,29096045.000000,29096003.000000
1110,73798450.000000,73804870.000000,73803041.0000001110,8880688.000000,8880689.000000,8880689.0000001110,29664723.000000,29673906.000000,29667347.000000
1130,75294902.000000,75304680.000000,75297297.0000001130,9040689.000000,9040690.000000,9040690.0000001130,30271416.000000,30271920.000000,30271761.000000
1150,76725088.000000,76744717.000000,76730902.0000001150,9200689.000000,9200690.000000,9200690.0000001150,30839501.000000,30847682.000000,30841983.000000
1170,78485937.000000,78494814.000000,78489747.0000001170,9360690.000000,9360691.000000,9360690.0000001170,31549306.000000,31552344.000000,31551122.000000
1190,80025687.000000,80035039.000000,80027465.0000001190,9520691.000000,9520692.000000,9520691.0000001190,32171402.000000,32179198.000000,32172859.000000
1210,81372935.000000,81397597.000000,81378144.0000001210,9680692.000000,9680692.000000,9680692.0000001210,32710729.000000,32720402.000000,32713039.000000
1230,82888150.000000,82896730.000000,82894634.0000001230,9840692.000000,9840693.000000,9840692.0000001230,33322200.000000,33323520.000000,33322432.000000
1250,84340704.000000,84344756.000000,84341115.0000001250,10000692.000000,10000693.000000,10000692.0000001250,33903086.000000,33906624.000000,33904058.000000
1270,86015187.000000,86036661.000000,86027302.0000001270,10160693.000000,10160694.000000,10160694.0000001270,34572660.000000,34593641.000000,34585081.000000
